applicant_id,name,age,income,employment_status,credit_score,loan_amount,loan_purpose,existing_debt,approved
2000,Aarav Sharma,38,615917,Self-Employed,599,716172,Business Expansion,183441,0
2001,Vivaan Sharma,31,653368,Salaried,627,100000,Home Renovation,72777,1
2002,Aditya Sharma,21,667439,Salaried,638,722906,Home Renovation,89973,0
2003,Vihaan Sharma,35,451169,Salaried,633,292810,Education,93051,0
2004,Arjun Sharma,30,399317,Contract,630,447968,Debt Consolidation,26703,0
2005,Sai Sharma,31,412501,Contract,512,454055,Medical,38534,0
2006,Atharv Sharma,26,310471,Salaried,621,372703,Home Renovation,126848,0
2007,Ishaan Sharma,28,451502,Salaried,568,619089,Business Expansion,20309,0
2008,Ananya Sharma,28,348312,Contract,533,312200,Car Purchase,144531,0
2009,Diya Sharma,41,736974,Contract,578,1155252,Debt Consolidation,175863,0
2010,Aadhya Sharma,28,402172,Salaried,619,100000,Home Renovation,120625,1
2011,Aarohi Sharma,35,163667,Contract,586,100000,Business Expansion,4213,0
2012,Anika Sharma,40,790532,Self-Employed,623,106921,Education,160142,1
2013,Myra Sharma,35,619018,Contract,595,526350,Medical,217256,0
2014,Sara Sharma,28,452559,Salaried,721,213120,Business Expansion,102730,1
2015,Aisha Sharma,36,240107,Self-Employed,650,100000,Home Renovation,57345,1
2016,Aarav Verma,34,609696,Salaried,705,729915,Debt Consolidation,21966,0
2017,Vivaan Verma,44,703045,Salaried,643,1279333,Business Expansion,321715,0
2018,Aditya Verma,39,653580,Salaried,743,494803,Education,171333,1
2019,Vihaan Verma,35,475471,Salaried,615,220461,Debt Consolidation,152644,0
2020,Arjun Verma,38,1048874,Self-Employed,652,420076,Debt Consolidation,35113,1
2021,Sai Verma,35,616750,Salaried,698,400384,Business Expansion,168288,1
2022,Atharv Verma,39,457550,Contract,640,517947,Business Expansion,197918,0
2023,Ishaan Verma,39,183093,Unemployed,576,100000,Car Purchase,15729,0
2024,Ananya Verma,40,386901,Salaried,714,604327,Home Renovation,49096,0
2025,Diya Verma,38,279208,Salaried,611,330657,Business Expansion,99972,0
2026,Aadhya Verma,37,998082,Self-Employed,751,179252,Car Purchase,263558,1
2027,Aarohi Verma,57,649791,Self-Employed,610,773823,Car Purchase,138749,0
2028,Anika Verma,34,287842,Unemployed,572,212868,Debt Consolidation,6555,0
2029,Myra Verma,40,691237,Self-Employed,612,714708,Debt Consolidation,188748,0
2030,Sara Verma,42,461733,Salaried,689,282095,Debt Consolidation,238641,1
2031,Aisha Verma,39,4000000,Self-Employed,699,3000000,Education,1592921,1
2032,Aarav Iyer,22,1794387,Self-Employed,575,1362338,Debt Consolidation,326120,0
2033,Vivaan Iyer,31,791062,Salaried,712,1044665,Education,213019,1
2034,Aditya Iyer,31,629894,Salaried,619,149316,Debt Consolidation,197375,1
2035,Vihaan Iyer,28,966518,Salaried,625,1961884,Car Purchase,146911,0
2036,Arjun Iyer,38,1507066,Self-Employed,583,2620835,Home Renovation,267300,0
2037,Sai Iyer,29,492774,Salaried,673,354438,Car Purchase,167535,1
2038,Atharv Iyer,48,322845,Self-Employed,658,333863,Home Renovation,58160,0
2039,Ishaan Iyer,50,811741,Self-Employed,681,1099562,Business Expansion,315714,0
2040,Ananya Iyer,30,1131394,Salaried,641,1316842,Home Renovation,382691,0
2041,Diya Iyer,25,1447075,Self-Employed,568,3000000,Debt Consolidation,182768,0
2042,Aadhya Iyer,42,769618,Self-Employed,626,1017316,Business Expansion,293619,0
2043,Aarohi Iyer,34,563016,Salaried,629,1073015,Home Renovation,238882,0
2044,Anika Iyer,29,337829,Salaried,547,221627,Education,80579,0
2045,Myra Iyer,32,150000,Unemployed,605,100000,Business Expansion,50891,0
2046,Sara Iyer,43,1144091,Salaried,746,1204204,Medical,355454,1
2047,Aisha Iyer,36,452512,Salaried,682,757221,Home Renovation,172353,0
2048,Aarav Kumar,21,1126627,Self-Employed,516,456716,Business Expansion,222249,0
2049,Vivaan Kumar,34,380451,Salaried,628,662554,Car Purchase,92362,0
2050,Aditya Kumar,30,328737,Salaried,650,589308,Car Purchase,40560,0
2051,Vihaan Kumar,35,325055,Unemployed,611,329702,Home Renovation,43573,0
2052,Arjun Kumar,29,150000,Unemployed,560,182104,Debt Consolidation,71831,0
2053,Sai Kumar,52,407214,Salaried,685,652499,Education,19033,1
2054,Atharv Kumar,24,412535,Salaried,705,257005,Business Expansion,10771,1
2055,Ishaan Kumar,40,906032,Salaried,715,100000,Medical,162744,1
2056,Ananya Kumar,37,831827,Salaried,675,986876,Car Purchase,446466,0
2057,Diya Kumar,42,718197,Salaried,642,362710,Education,109606,1
2058,Aadhya Kumar,40,376125,Self-Employed,614,429294,Medical,76887,0
2059,Aarohi Kumar,30,598254,Contract,614,100000,Car Purchase,269999,1
2060,Anika Kumar,46,734715,Salaried,722,227589,Debt Consolidation,0,1
2061,Myra Kumar,36,222919,Self-Employed,705,100000,Car Purchase,9582,1
2062,Sara Kumar,34,622246,Salaried,603,755312,Education,218066,0
2063,Aisha Kumar,40,488091,Salaried,628,337116,Car Purchase,158925,1
2064,Aarav Patel,35,455420,Salaried,689,355886,Business Expansion,94239,1
2065,Vivaan Patel,29,440775,Contract,630,251429,Medical,69177,0
2066,Aditya Patel,41,411218,Salaried,659,619155,Business Expansion,110664,0
2067,Vihaan Patel,27,555608,Salaried,577,310471,Debt Consolidation,155858,1
2068,Arjun Patel,44,584298,Salaried,613,465077,Debt Consolidation,164189,1
2069,Sai Patel,34,907075,Salaried,750,673992,Business Expansion,364807,1
2070,Atharv Patel,22,240111,Contract,525,100000,Home Renovation,81472,0
2071,Ishaan Patel,32,497090,Salaried,625,325314,Home Renovation,87950,1
2072,Ananya Patel,35,403998,Salaried,673,459927,Home Renovation,95854,0
2073,Diya Patel,49,387112,Contract,647,667568,Car Purchase,200317,0
2074,Aadhya Patel,30,380516,Salaried,582,438165,Medical,97873,0
2075,Aarohi Patel,25,593451,Salaried,611,295593,Debt Consolidation,152582,1
2076,Anika Patel,30,965233,Self-Employed,649,100000,Medical,450025,1
2077,Myra Patel,30,788006,Contract,624,1054294,Car Purchase,174636,0
2078,Sara Patel,31,464447,Salaried,671,100000,Car Purchase,188211,1
2079,Aisha Patel,48,721231,Salaried,706,1019067,Home Renovation,212281,0
2080,Aarav Singh,37,500475,Salaried,697,242158,Medical,132297,1
2081,Vivaan Singh,44,424882,Self-Employed,724,630138,Business Expansion,104160,0
2082,Aditya Singh,47,479699,Contract,673,404181,Car Purchase,83226,1
2083,Vihaan Singh,26,1531363,Salaried,693,2172836,Education,842092,0
2084,Arjun Singh,21,912200,Salaried,637,804262,Education,589769,0
2085,Sai Singh,27,438920,Contract,640,277649,Business Expansion,154001,0
2086,Atharv Singh,36,418755,Contract,570,432367,Car Purchase,96787,0
2087,Ishaan Singh,46,424369,Salaried,699,372379,Debt Consolidation,190043,1
2088,Ananya Singh,33,673234,Salaried,640,571287,Business Expansion,336854,0
2089,Diya Singh,38,316343,Salaried,635,192250,Home Renovation,122071,1
2090,Aadhya Singh,32,366852,Salaried,652,221854,Business Expansion,100421,1
2091,Aarohi Singh,36,513740,Salaried,762,929872,Education,43120,1
